---------------------------------------------------------------------------
|  Fault    |  No. detected   |   Level    |  c0   |  c1   |  n0   |  n1  |
|340-319-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|340-319-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
| 340-47-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 340-47-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|341-309-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|341-309-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|341-282-0  |        0        |     6      |  16   |   3   |   0   | 5293 |
|341-282-1  |        0        |     6      |  16   |   3   |   0   | 5293 |
|342-319-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|342-319-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
| 342-60-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 342-60-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|343-309-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|343-309-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|343-285-0  |        0        |     6      |  16   |   3   |   0   | 5293 |
|343-285-1  |        0        |     6      |  16   |   3   |   0   | 5293 |
|344-319-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|344-319-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
| 344-73-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 344-73-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|345-319-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|345-319-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
| 345-86-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 345-86-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|346-319-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|346-319-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
| 346-99-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 346-99-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|347-319-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|347-319-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|347-112-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
|347-112-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|348-330-0  |        8        |     9      |  22   |  33   |   0   | 5169 |
|348-330-1  |        6        |     9      |  22   |  33   |   0   | 5169 |
|348-300-0  |        8        |     7      |   4   |  17   | 2062  | 2977 |
|348-300-1  |        6        |     7      |   4   |  17   | 2062  | 2977 |
|349-331-0  |        8        |     9      |  22   |  33   | 1950  | 3016 |
|349-331-1  |        0        |     9      |  22   |  33   | 1950  | 3016 |
|349-301-0  |        8        |     7      |   4   |  17   | 5281  |   0  |
|349-301-1  |        0        |     7      |   4   |  17   | 5281  |   0  |
|350-332-0  |        8        |     9      |  22   |  33   | 2935  | 1993 |
|350-332-1  |        0        |     9      |  22   |  33   | 2935  | 1993 |
|350-302-0  |        8        |     7      |   4   |  17   | 5277  |   0  |
|350-302-1  |        0        |     7      |   4   |  17   | 5277  |   0  |
|351-333-0  |        8        |     9      |  22   |  33   | 2936  | 1985 |
|351-333-1  |        0        |     9      |  22   |  33   | 2936  | 1985 |
|351-303-0  |        8        |     7      |   4   |  17   | 5283  |   0  |
|351-303-1  |        0        |     7      |   4   |  17   | 5283  |   0  |
|352-335-0  |        8        |     9      |  22   |  33   | 2936  | 1985 |
|352-335-1  |        0        |     9      |  22   |  33   | 2936  | 1985 |
|352-304-0  |        8        |     7      |   4   |  17   | 5283  |   0  |
|352-304-1  |        0        |     7      |   4   |  17   | 5283  |   0  |
|353-337-0  |        8        |     9      |  22   |  33   | 2936  | 1985 |
|353-337-1  |        0        |     9      |  22   |  33   | 2936  | 1985 |
|353-305-0  |        8        |     7      |   4   |  17   | 5283  |   0  |
|353-305-1  |        0        |     7      |   4   |  17   | 5283  |   0  |
|354-339-0  |        8        |     9      |  22   |  33   | 2936  | 1985 |
|354-339-1  |        0        |     9      |  22   |  33   | 2936  | 1985 |
|354-306-0  |        8        |     7      |   4   |  17   | 5283  |   0  |
|354-306-1  |        0        |     7      |   4   |  17   | 5283  |   0  |
|355-341-0  |        8        |     9      |  22   |  33   | 2936  | 1985 |
|355-341-1  |        0        |     9      |  22   |  33   | 2936  | 1985 |
|355-307-0  |        8        |     7      |   4   |  17   | 5283  |   0  |
|355-307-1  |        0        |     7      |   4   |  17   | 5283  |   0  |
|356-343-0  |        8        |     9      |  22   |  33   | 2936  | 1985 |
|356-343-1  |        0        |     9      |  22   |  33   | 2936  | 1985 |
|356-308-0  |        8        |     7      |   4   |  17   | 5283  |   0  |
|356-308-1  |        0        |     7      |   4   |  17   | 5283  |   0  |
|357-348-0  |        8        |     10     |  51   |   5   | 2916  | 2056 |
|357-348-1  |        6        |     10     |  51   |   5   | 2916  | 2056 |
|357-349-0  |        8        |     10     |  51   |   5   |   0   | 5284 |
|357-349-1  |        6        |     10     |  51   |   5   |   0   | 5284 |
|357-350-0  |        8        |     10     |  51   |   5   |   0   | 5287 |
|357-350-1  |        6        |     10     |  51   |   5   |   0   | 5287 |
|357-351-0  |        8        |     10     |  51   |   5   |   0   | 5295 |
|357-351-1  |        6        |     10     |  51   |   5   |   0   | 5295 |
|357-352-0  |        8        |     10     |  51   |   5   |   0   | 5295 |
|357-352-1  |        6        |     10     |  51   |   5   |   0   | 5295 |
|357-353-0  |        8        |     10     |  51   |   5   |   0   | 5295 |
|357-353-1  |        6        |     10     |  51   |   5   |   0   | 5295 |
|357-354-0  |        8        |     10     |  51   |   5   |   0   | 5295 |
|357-354-1  |        6        |     10     |  51   |   5   |   0   | 5295 |
|357-355-0  |        8        |     10     |  51   |   5   |   0   | 5295 |
|357-355-1  |        6        |     10     |  51   |   5   |   0   | 5295 |
|357-356-0  |        8        |     10     |  51   |   5   |   0   | 5295 |
|357-356-1  |        6        |     10     |  51   |   5   |   0   | 5295 |
|360-357-0  |        3        |     11     |  52   |  46   | 2887  | 1899 |
|360-357-1  |        6        |     11     |  52   |  46   | 2887  | 1899 |
| 371-14-0  |        0        |     0      |   1   |   1   | 5315  |   0  |
| 371-14-1  |        0        |     0      |   1   |   1   | 5315  |   0  |
|371-360-0  |        0        |     12     |  47   |  53   | 1895  | 2881 |
|371-360-1  |        0        |     12     |  47   |  53   | 1895  | 2881 |
|372-360-0  |        0        |     12     |  47   |  53   | 1895  | 2881 |
|372-360-1  |        3        |     12     |  47   |  53   | 1895  | 2881 |
| 372-27-0  |        0        |     0      |   1   |   1   | 2126  | 3189 |
| 372-27-1  |        3        |     0      |   1   |   1   | 2126  | 3189 |
|373-360-0  |        6        |     12     |  47   |  53   | 1895  | 2881 |
|373-360-1  |        0        |     12     |  47   |  53   | 1895  | 2881 |
| 373-40-0  |        6        |     0      |   1   |   1   |   0   | 5315 |
| 373-40-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|374-360-0  |        0        |     12     |  47   |  53   | 1895  | 2881 |
|374-360-1  |        0        |     12     |  47   |  53   | 1895  | 2881 |
| 374-53-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 374-53-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|375-360-0  |        0        |     12     |  47   |  53   | 1895  | 2881 |
|375-360-1  |        0        |     12     |  47   |  53   | 1895  | 2881 |
| 375-66-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 375-66-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|376-360-0  |        0        |     12     |  47   |  53   | 1895  | 2881 |
|376-360-1  |        0        |     12     |  47   |  53   | 1895  | 2881 |
| 376-79-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 376-79-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|377-360-0  |        0        |     12     |  47   |  53   | 1895  | 2881 |
|377-360-1  |        0        |     12     |  47   |  53   | 1895  | 2881 |
| 377-92-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 377-92-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|378-360-0  |        0        |     12     |  47   |  53   | 1895  | 2881 |
|378-360-1  |        0        |     12     |  47   |  53   | 1895  | 2881 |
|378-105-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
|378-105-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|379-360-0  |        0        |     12     |  47   |  53   | 1895  | 2881 |
|379-360-1  |        0        |     12     |  47   |  53   | 1895  | 2881 |
|379-115-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
|379-115-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 380-4-0   |        2        |     0      |   1   |   1   |   0   | 5315 |
| 380-4-1   |        0        |     0      |   1   |   1   |   0   | 5315 |
|380-242-0  |        2        |     5      |   8   |   2   | 2082  | 2998 |
|380-242-1  |        0        |     5      |   8   |   2   | 2082  | 2998 |
|380-334-0  |        2        |     9      |  20   |   2   |   0   | 5304 |
|380-334-1  |        0        |     9      |  20   |   2   |   0   | 5304 |
|380-371-0  |        2        |     13     |  55   |   2   |   0   | 5305 |
|380-371-1  |        0        |     13     |  55   |   2   |   0   | 5305 |
|381-246-0  |       11        |     5      |   8   |   2   |   0   | 5238 |
|381-246-1  |        0        |     5      |   8   |   2   |   0   | 5238 |
|381-336-0  |       11        |     9      |  20   |   2   | 1960  | 3111 |
|381-336-1  |        0        |     9      |  20   |   2   | 1960  | 3111 |
|381-372-0  |       11        |     13     |  55   |   2   | 1908  | 3066 |
|381-372-1  |        0        |     13     |  55   |   2   | 1908  | 3066 |
| 381-17-0  |       11        |     0      |   1   |   1   | 4252  | 1063 |
| 381-17-1  |        0        |     0      |   1   |   1   | 4252  | 1063 |
|386-250-0  |        6        |     5      |   8   |   2   |   0   | 5118 |
|386-250-1  |        6        |     5      |   8   |   2   |   0   | 5118 |
|386-338-0  |        6        |     9      |  20   |   2   | 1974  | 3041 |
|386-338-1  |        6        |     9      |  20   |   2   | 1974  | 3041 |
|386-373-0  |        6        |     13     |  55   |   2   | 2869  | 1891 |
|386-373-1  |        6        |     13     |  55   |   2   | 2869  | 1891 |
| 386-30-0  |        6        |     0      |   1   |   1   | 2126  | 3189 |
| 386-30-1  |        6        |     0      |   1   |   1   | 2126  | 3189 |
|393-254-0  |        6        |     5      |   8   |   2   | 2082  | 2998 |
|393-254-1  |        0        |     5      |   8   |   2   | 2082  | 2998 |
|393-340-0  |        6        |     9      |  20   |   2   | 2954  | 1979 |
|393-340-1  |        0        |     9      |  20   |   2   | 2954  | 1979 |
|393-374-0  |        6        |     13     |  55   |   2   | 2869  | 1889 |
|393-374-1  |        0        |     13     |  55   |   2   | 2869  | 1889 |
| 393-43-0  |        6        |     0      |   1   |   1   |   0   | 5315 |
| 393-43-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|399-255-0  |        3        |     5      |   8   |   2   | 2082  | 2998 |
|399-255-1  |        0        |     5      |   8   |   2   | 2082  | 2998 |
|399-342-0  |        3        |     9      |  20   |   2   | 2954  | 1979 |
|399-342-1  |        0        |     9      |  20   |   2   | 2954  | 1979 |
|399-375-0  |        3        |     13     |  55   |   2   | 2869  | 1889 |
|399-375-1  |        0        |     13     |  55   |   2   | 2869  | 1889 |
| 399-56-0  |        3        |     0      |   1   |   1   |   0   | 5315 |
| 399-56-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|404-256-0  |        6        |     5      |   8   |   2   | 2082  | 2998 |
|404-256-1  |        0        |     5      |   8   |   2   | 2082  | 2998 |
|404-344-0  |        6        |     9      |  20   |   2   | 2954  | 1979 |
|404-344-1  |        0        |     9      |  20   |   2   | 2954  | 1979 |
|404-376-0  |        6        |     13     |  55   |   2   | 2869  | 1889 |
|404-376-1  |        0        |     13     |  55   |   2   | 2869  | 1889 |
| 404-69-0  |        6        |     0      |   1   |   1   |   0   | 5315 |
| 404-69-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|407-257-0  |        3        |     5      |   8   |   2   | 2082  | 2998 |
|407-257-1  |        0        |     5      |   8   |   2   | 2082  | 2998 |
|407-345-0  |        3        |     9      |  20   |   2   | 2954  | 1979 |
|407-345-1  |        0        |     9      |  20   |   2   | 2954  | 1979 |
|407-377-0  |        3        |     13     |  55   |   2   | 2869  | 1889 |
|407-377-1  |        0        |     13     |  55   |   2   | 2869  | 1889 |
| 407-82-0  |        3        |     0      |   1   |   1   |   0   | 5315 |
| 407-82-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|411-258-0  |        3        |     5      |   8   |   2   | 2082  | 2998 |
|411-258-1  |        0        |     5      |   8   |   2   | 2082  | 2998 |
|411-346-0  |        3        |     9      |  20   |   2   | 2954  | 1979 |
|411-346-1  |        0        |     9      |  20   |   2   | 2954  | 1979 |
|411-378-0  |        3        |     13     |  55   |   2   | 2869  | 1889 |
|411-378-1  |        0        |     13     |  55   |   2   | 2869  | 1889 |
| 411-95-0  |        3        |     0      |   1   |   1   |   0   | 5315 |
| 411-95-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|414-259-0  |        0        |     5      |   8   |   2   | 2082  | 2998 |
|414-259-1  |        0        |     5      |   8   |   2   | 2082  | 2998 |
|414-347-0  |        0        |     9      |  20   |   2   | 2954  | 1979 |
|414-347-1  |        0        |     9      |  20   |   2   | 2954  | 1979 |
|414-379-0  |        0        |     13     |  55   |   2   | 2869  | 1889 |
|414-379-1  |        0        |     13     |  55   |   2   | 2869  | 1889 |
|414-108-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
|414-108-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|415-380-0  |        0        |     14     |   8   |   2   | 2961  | 2072 |
|415-380-1  |        2        |     14     |   8   |   2   | 2961  | 2072 |
|416-381-0  |        0        |     14     |   8   |   2   |   0   | 5232 |
|416-381-1  |        2        |     14     |   8   |   2   |   0   | 5232 |
|416-386-0  |        0        |     14     |   8   |   2   | 1784  | 3164 |
|416-386-1  |        2        |     14     |   8   |   2   | 1784  | 3164 |
|416-393-0  |        0        |     14     |   8   |   2   |   0   | 5232 |
|416-393-1  |        2        |     14     |   8   |   2   |   0   | 5232 |
|416-399-0  |        0        |     14     |   8   |   2   |   0   | 5232 |
|416-399-1  |        2        |     14     |   8   |   2   |   0   | 5232 |
|416-404-0  |        0        |     14     |   8   |   2   |   0   | 5232 |
|416-404-1  |        2        |     14     |   8   |   2   |   0   | 5232 |
|416-407-0  |        0        |     14     |   8   |   2   |   0   | 5232 |
|416-407-1  |        2        |     14     |   8   |   2   |   0   | 5232 |
|416-411-0  |        0        |     14     |   8   |   2   |   0   | 5232 |
|416-411-1  |        2        |     14     |   8   |   2   |   0   | 5232 |
|416-414-0  |        0        |     14     |   8   |   2   |   0   | 5232 |
|416-414-1  |        2        |     14     |   8   |   2   |   0   | 5232 |
|417-393-0  |        0        |     14     |   8   |   2   |   0   | 5232 |
|417-393-1  |        6        |     14     |   8   |   2   |   0   | 5232 |
|418-404-0  |        0        |     14     |   8   |   2   |   0   | 5232 |
|418-404-1  |        6        |     14     |   8   |   2   |   0   | 5232 |
|419-407-0  |        0        |     14     |   8   |   2   |   0   | 5232 |
|419-407-1  |        3        |     14     |   8   |   2   |   0   | 5232 |
|420-411-0  |        0        |     14     |   8   |   2   |   0   | 5232 |
|420-411-1  |        3        |     14     |   8   |   2   |   0   | 5232 |
|422-386-0  |        8        |     14     |   8   |   2   | 1784  | 3164 |
|422-386-1  |        0        |     14     |   8   |   2   | 1784  | 3164 |
|422-417-0  |        8        |     15     |   3   |   9   | 5222  |   0  |
|422-417-1  |        0        |     15     |   3   |   9   | 5222  |   0  |
|425-386-0  |        8        |     14     |   8   |   2   | 1784  | 3164 |
|425-386-1  |        0        |     14     |   8   |   2   | 1784  | 3164 |
|425-393-0  |        8        |     14     |   8   |   2   |   0   | 5232 |
|425-393-1  |        0        |     14     |   8   |   2   |   0   | 5232 |
|425-418-0  |        8        |     15     |   3   |   9   | 5222  |   0  |
|425-418-1  |        0        |     15     |   3   |   9   | 5222  |   0  |
|425-399-0  |        8        |     14     |   8   |   2   |   0   | 5232 |
|425-399-1  |        0        |     14     |   8   |   2   |   0   | 5232 |
|428-399-0  |        3        |     14     |   8   |   2   |   0   | 5232 |
|428-399-1  |        0        |     14     |   8   |   2   |   0   | 5232 |
|428-393-0  |        3        |     14     |   8   |   2   |   0   | 5232 |
|428-393-1  |        0        |     14     |   8   |   2   |   0   | 5232 |
|428-419-0  |        3        |     15     |   3   |   9   | 5222  |   0  |
|428-419-1  |        0        |     15     |   3   |   9   | 5222  |   0  |
|429-386-0  |        5        |     14     |   8   |   2   | 1784  | 3164 |
|429-386-1  |        0        |     14     |   8   |   2   | 1784  | 3164 |
|429-393-0  |        5        |     14     |   8   |   2   |   0   | 5232 |
|429-393-1  |        0        |     14     |   8   |   2   |   0   | 5232 |
|429-407-0  |        5        |     14     |   8   |   2   |   0   | 5232 |
|429-407-1  |        0        |     14     |   8   |   2   |   0   | 5232 |
|429-420-0  |        5        |     15     |   3   |   9   | 5222  |   0  |
|429-420-1  |        0        |     15     |   3   |   9   | 5222  |   0  |

1064 faults have been simulated

Number of fault simulations: total fault simulations = user TV * 1064 faults in c432.bench

5 * 1064 faults = 5320 fault simulations
